record_type,medium,rho_cells_mL,D_m2_s,Cinf_uM,Km_uM,q_mol_cell_s,q_factor,A10,A50,A90,A_dead_1e3,R10_um,R50_um,R90_um,Rdead_1e3_um,R_Da1_um,depletion_at_Da1,eta_at_Da1,planar_C_over_Cinf_1e3_um
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,0.1,8.33e-18,10.0,0.2003959398340824,1.0031344672200984,1.8141037890561804,2.169213829049196,51.442054000377944,115.09419462666223,154.77645918054907,169.24857628848662,114.91423807712054,0.49843929302051937,0.9987813930937915,167.95773417973356
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,0.5,8.330000000000001e-20,0.1,0.2019831401298888,1.0156910607220897,1.8759194592243387,2.3937902677493805,516.4537101670888,1158.1229207787107,1573.9137740052115,1777.9391385706558,1149.1423807712054,0.49235956403281056,0.9941012757691957,1915.6707231714793
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,0.5,8.33e-19,1.0,0.2019831401298888,1.0156910607220897,1.8759194592243387,2.3937902677493805,163.31700301724598,366.230624010747,497.7152366567985,562.2337219040999,363.39072790654876,0.49235956403281056,0.9941012757691957,605.7882732123774
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,0.5,8.33e-18,10.0,0.2019831401298888,1.0156910607220897,1.8759194592243387,2.3937902677493805,51.64537101670889,115.81229207787109,157.3913774005212,177.79391385706563,114.91423807712054,0.49235956403281056,0.9941012757691957,191.56707231714796
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,1.0,8.330000000000001e-20,0.1,0.20396810221332506,1.031389331241043,1.9515133656847432,2.8520112002272895,518.9851955257096,1167.0384349804701,1605.3125720823018,1940.6600034007868,1149.1423807712054,0.4851010834987869,0.9886541801558159,2126.543131999119
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,1.0,8.33e-19,1.0,0.20396810221332506,1.031389331241043,1.9515133656847432,2.8520112002272895,164.11752897690698,369.0499571496608,507.64440842833045,613.6905774736599,363.39072790654876,0.4851010834987869,0.9886541801558159,672.4719839705311
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,1.0,8.33e-18,10.0,0.20396810221332506,1.031389331241043,1.9515133656847432,2.8520112002272895,51.898519552570974,116.70384349804702,160.53125720823022,194.0660003400787,114.91423807712054,0.4851010834987869,0.9886541801558159,212.6543131999119
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,5.0,8.330000000000001e-20,0.1,0.21983791777916606,1.1570221888581227,2.5772272229818745,6.893607056141229,538.7969676394199,1236.0746099929847,1844.8038526732346,3017.151404080425,1149.1423807712054,0.4371771592002206,0.9566088417092756,3164.8673104532477
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,5.0,8.33e-19,1.0,0.21983791777916606,1.1570221888581227,2.5772272229818745,6.893607056141229,170.3825614132603,390.8811125482158,583.3782010701128,954.1070482469187,363.39072790654876,0.4371771592002206,0.9566088417092756,1000.8189193243489
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,5.0,8.33e-18,10.0,0.21983791777916606,1.1570221888581227,2.5772272229818745,6.893607056141229,53.87969676394201,123.6074609992985,184.4803852673235,301.71514040804254,114.91423807712054,0.4371771592002206,0.9566088417092756,316.48673104532486
factorial_sensitivity,oxygen,1000000000.0,2.1e-09,5.0,0.1,8.330000000000001e-20,0.1,0.20436361387272087,1.0345279268959588,1.9676986374952832,2.9469561152411092,160.49959313257187,361.11311228039773,498.02534074122553,609.4793323345731,355.03580124836316,0.48369175286437305,0.9876143734075993,668.4540299655879
factorial_sensitivity,oxygen,1000000000.0,2.1e-09,5.0,0.1,8.33e-19,1.0,0.20436361387272087,1.0345279268959588,1.9676986374952832,2.9469561152411092,50.75442778292463,114.19399277581775,157.48944092237227,192.734287697596,112.27217828476797,0.48369175286437305,0.9876143734075993,211.38372458097032
factorial_sensitivity,oxygen,1000000000.0,2.1e-09,5.0,0.1,8.33e-18,10.0,0.20436361387272087,1.0345279268959588,1.9676986374952832,2.9469561152411092,16.04995931325719,36.11131122803978,49.80253407412256,60.94793323345731,35.50358012483632,0.48369175286437305,0.9876143734075993,66.84540299655882
factorial_sensitivity,oxygen,1000000000.0,2.1e-09,5.0,0.5,8.330000000000001e-20,0.1,0.22181954594683673,1.1727386508102164,2.656640521202081,7.4119271781160725,167.2137762509078,384.47912775853,578.6800963684818,966.5798130814898,355.03580124836316,0.43214701686656054,0.953647205634119,1008.2940890572853
